SQL Statement which produced this data:
  SELECT 
      PTT.PHM_ALGORITHM_DEFINITIONS_SK,
      PTT.PHM_THRESHOLDS_SK,
      PTT.THRESHOLD_NUMBER,
      PTT.THRESHOLD_NUMBER_UNIT,
      PTT.THRESHOLD_NUMBER_DESC,
      PP.PHM_PATTERNS_SK,
      PP.PATTERN_DESCRIPTION,
      PTT.THRESHOLD_ALERT,
      PTT.THRESHOLD_TYPE, 
      PTT.THRESHOLD_DATA_DAYS
  FROM 
      svc_phm_owner.PHM_PATTERNS PP, 
      svc_phm_owner.PHM_THRESHOLDS PTT 
  WHERE 
      PP.PHM_PATTERNS_SK = PTT.PHM_PATTERNS_SK
  AND 
      PP.PHM_ALGORITHM_DEFINITIONS_SK = PTT.PHM_ALGORITHM_DEFINITIONS_SK 
  -- AND 
      -- PP.PHM_ALGORITHM_DEFINITIONS_SK in ( 1060 )
  ORDER BY 
      PTT.PHM_ALGORITHM_DEFINITIONS_SK,
      PTT.PHM_THRESHOLDS_SK;

PHM_ALGORITHM_DEFINITIONS_SK,PHM_THRESHOLDS_SK,THRESHOLD_NUMBER,THRESHOLD_NUMBER_UNIT,THRESHOLD_NUMBER_DESC,PHM_PATTERNS_SK,PATTERN_DESCRIPTION,THRESHOLD_ALERT,THRESHOLD_TYPE,THRESHOLD_DATA_DAYS
1002,453,1,"1","1/day",10151,"LAS2: Error 102: Sample Queue Error","LAS2: Error 102: Sample Queue Error","COUNT",1
1002,454,5,"2","5/day - 2 consecutive days",10152,"LAS2: Error 103: Carrier Missing","LAS2: Error 103: Carrier Missing","CONSECUTIVE",2
1002,455,5,"2","5/day - 2 consecutive days",10153,"LAS2: Error 113","LAS2: Error 113","CONSECUTIVE",2
1002,456,1.5,"2","1.5% BCR Error/day - 2 consecutive days",10154,"LAS2: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""","LAS2: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""","CONSECUTIVE",2
1002,457,2,"2","2/day - 2 consecutive days",10155,"LAS2: Error 301","LAS2: Error 301","CONSECUTIVE",2
1002,458,2,"2","2/day - 2 consecutive days",10156,"LAS2: Error 302","LAS2: Error 302","CONSECUTIVE",2
1002,459,2,"2","2/day - 2 consecutive days",10157,"LAS2: Error 311","LAS2: Error 311","CONSECUTIVE",2
1002,460,2,"2","2/day - 2 consecutive days",10158,"LAS2: Error 312","LAS2: Error 312","CONSECUTIVE",2
1002,461,2,"2","2/day - 2 consecutive days",10159,"LAS2: Error 317","LAS2: Error 317","CONSECUTIVE",2
1002,462,2,"2","2/day - 2 consecutive days",10160,"LAS2: Error 318","LAS2: Error 318","CONSECUTIVE",2
1002,463,2,"2","2/day - 2 consecutive days",10161,"LAS2: Error 325","LAS2: Error 325","CONSECUTIVE",2
1002,464,2,"2","2/day - 2 consecutive days",10162,"LAS2: Error 326","LAS2: Error 326","CONSECUTIVE",2
1002,465,2,"2","2/day - 2 consecutive days",10163,"LAS2: Error 327","LAS2: Error 327","CONSECUTIVE",2
1002,466,1,"7","1/day, 3 days with errors in 1 week",10164,"LAS3: Error 101: Sample Presentation Error","LAS3: Error 101: Sample Presentation Error","DISCRETE",7
1002,467,1,"1","1/day",10165,"LAS3: Error 102: Sample Queue Error","LAS3: Error 102: Sample Queue Error","COUNT",1
1002,468,5,"2","5/day - 2 consecutive days",10166,"LAS3: Error 103: Carrier Missing","LAS3: Error 103: Carrier Missing","CONSECUTIVE",2
1002,469,5,"2","5/day - 2 consecutive days",10167,"LAS3: Error 113","LAS3: Error 113","CONSECUTIVE",2
1002,470,1.5,"2","1.5% BCR Error/day - 2 consecutive days",10168,"LAS3: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""","LAS3: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""","CONSECUTIVE",2
1002,471,2,"2","2/day - 2 consecutive days",10169,"LAS3: Error 301","LAS3: Error 301","CONSECUTIVE",2
1002,472,2,"2","2/day - 2 consecutive days",10170,"LAS3: Error 302","LAS3: Error 302","CONSECUTIVE",2
1002,473,2,"2","2/day - 2 consecutive days",10171,"LAS3: Error 311","LAS3: Error 311","CONSECUTIVE",2
1002,474,2,"2","2/day - 2 consecutive days",10172,"LAS3: Error 312","LAS3: Error 312","CONSECUTIVE",2
1002,475,2,"2","2/day - 2 consecutive days",10173,"LAS3: Error 317","LAS3: Error 317","CONSECUTIVE",2
1002,476,2,"2","2/day - 2 consecutive days",10174,"LAS3: Error 318","LAS3: Error 318","CONSECUTIVE",2
1002,477,2,"2","2/day - 2 consecutive days",10175,"LAS3: Error 325","LAS3: Error 325","CONSECUTIVE",2
1002,478,2,"2","2/day - 2 consecutive days",10176,"LAS3: Error 326","LAS3: Error 326","CONSECUTIVE",2
1002,479,2,"2","2/day - 2 consecutive days",10177,"LAS3: Error 327","LAS3: Error 327","CONSECUTIVE",2
1002,480,1,"7","1/day, 3 days with errors in 1 week",10178,"LAS4: Error 101: Sample Presentation Error","LAS4: Error 101: Sample Presentation Error","DISCRETE",7
1002,481,1,"1","1/day",10179,"LAS4: Error 102: Sample Queue Error","LAS4: Error 102: Sample Queue Error","COUNT",1
1002,482,5,"2","5/day - 2 consecutive days",10180,"LAS4: Error 103: Carrier Missing","LAS4: Error 103: Carrier Missing","CONSECUTIVE",2
1002,483,5,"2","5/day - 2 consecutive days",10181,"LAS4: Error 113","LAS4: Error 113","CONSECUTIVE",2
1002,484,1.5,"2","1.5% BCR Error/day - 2 consecutive days",10182,"LAS4: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""","LAS4: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""","CONSECUTIVE",2
1002,485,2,"2","2/day - 2 consecutive days",10183,"LAS4: Error 301","LAS4: Error 301","CONSECUTIVE",2
1002,486,2,"2","2/day - 2 consecutive days",10184,"LAS4: Error 302","LAS4: Error 302","CONSECUTIVE",2
1002,487,2,"2","2/day - 2 consecutive days",10185,"LAS4: Error 311","LAS4: Error 311","CONSECUTIVE",2
1002,488,2,"2","2/day - 2 consecutive days",10186,"LAS4: Error 312","LAS4: Error 312","CONSECUTIVE",2
1002,489,2,"2","2/day - 2 consecutive days",10187,"LAS4: Error 317","LAS4: Error 317","CONSECUTIVE",2
1002,490,2,"2","2/day - 2 consecutive days",10188,"LAS4: Error 318","LAS4: Error 318","CONSECUTIVE",2
1002,491,2,"2","2/day - 2 consecutive days",10189,"LAS4: Error 325","LAS4: Error 325","CONSECUTIVE",2
1002,492,2,"2","2/day - 2 consecutive days",10190,"LAS4: Error 326","LAS4: Error 326","CONSECUTIVE",2
1002,493,2,"2","2/day - 2 consecutive days",10191,"LAS4: Error 327","LAS4: Error 327","CONSECUTIVE",2
1002,494,1,"7","1/day, 3 days with errors in 1 week",10192,"LAS5: Error 101: Sample Presentation Error","LAS5: Error 101: Sample Presentation Error","DISCRETE",7
1002,495,1,"1","1/day",10193,"LAS5: Error 102: Sample Queue Error","LAS5: Error 102: Sample Queue Error","COUNT",1
1002,496,5,"2","5/day - 2 consecutive days",10194,"LAS5: Error 103: Carrier Missing","LAS5: Error 103: Carrier Missing","CONSECUTIVE",2
1002,497,5,"2","5/day - 2 consecutive days",10195,"LAS5: Error 113","LAS5: Error 113","CONSECUTIVE",2
1002,498,1.5,"2","1.5% BCR Error/day - 2 consecutive days",10196,"LAS5: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""","LAS5: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""","CONSECUTIVE",2
1002,499,2,"2","2/day - 2 consecutive days",10197,"LAS5: Error 301","LAS5: Error 301","CONSECUTIVE",2
1002,500,2,"2","2/day - 2 consecutive days",10198,"LAS5: Error 302","LAS5: Error 302","CONSECUTIVE",2
1002,501,2,"2","2/day - 2 consecutive days",10199,"LAS5: Error 311","LAS5: Error 311","CONSECUTIVE",2
1002,502,2,"2","2/day - 2 consecutive days",10200,"LAS5: Error 312","LAS5: Error 312","CONSECUTIVE",2
1002,503,2,"2","2/day - 2 consecutive days",10201,"LAS5: Error 317","LAS5: Error 317","CONSECUTIVE",2
1002,504,2,"2","2/day - 2 consecutive days",10202,"LAS5: Error 318","LAS5: Error 318","CONSECUTIVE",2
1002,505,2,"2","2/day - 2 consecutive days",10203,"LAS5: Error 325","LAS5: Error 325","CONSECUTIVE",2
1002,506,2,"2","2/day - 2 consecutive days",10204,"LAS5: Error 326","LAS5: Error 326","CONSECUTIVE",2
1002,507,2,"2","2/day - 2 consecutive days",10205,"LAS5: Error 327","LAS5: Error 327","CONSECUTIVE",2
1002,508,1,"7","1/day, 3 days with errors in 1 week",10206,"LAS6: Error 101: Sample Presentation Error","LAS6: Error 101: Sample Presentation Error","DISCRETE",7
1002,509,1,"1","1/day",10207,"LAS6: Error 102: Sample Queue Error","LAS6: Error 102: Sample Queue Error","COUNT",1
1002,510,5,"2","5/day - 2 consecutive days",10208,"LAS6: Error 103: Carrier Missing","LAS6: Error 103: Carrier Missing","CONSECUTIVE",2
1002,511,5,"2","5/day - 2 consecutive days",10209,"LAS6: Error 113","LAS6: Error 113","CONSECUTIVE",2
1002,512,1.5,"2","1.5% BCR Error/day - 2 consecutive days",10210,"LAS6: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""","LAS6: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""","CONSECUTIVE",2
1002,513,2,"2","2/day - 2 consecutive days",10211,"LAS6: Error 301","LAS6: Error 301","CONSECUTIVE",2
1002,514,2,"2","2/day - 2 consecutive days",10212,"LAS6: Error 302","LAS6: Error 302","CONSECUTIVE",2
1002,515,2,"2","2/day - 2 consecutive days",10213,"LAS6: Error 311","LAS6: Error 311","CONSECUTIVE",2
1002,516,2,"2","2/day - 2 consecutive days",10214,"LAS6: Error 312","LAS6: Error 312","CONSECUTIVE",2
1002,517,2,"2","2/day - 2 consecutive days",10215,"LAS6: Error 317","LAS6: Error 317","CONSECUTIVE",2
1002,518,2,"2","2/day - 2 consecutive days",10216,"LAS6: Error 318","LAS6: Error 318","CONSECUTIVE",2
1002,519,2,"2","2/day - 2 consecutive days",10217,"LAS6: Error 325","LAS6: Error 325","CONSECUTIVE",2
1002,520,2,"2","2/day - 2 consecutive days",10218,"LAS6: Error 326","LAS6: Error 326","CONSECUTIVE",2
1002,521,2,"2","2/day - 2 consecutive days",10219,"LAS6: Error 327","LAS6: Error 327","CONSECUTIVE",2
1002,522,1,"7","1/day, 3 days with errors in 1 week",10220,"LAS7: Error 101: Sample Presentation Error","LAS7: Error 101: Sample Presentation Error","DISCRETE",7
1002,523,1,"1","1/day",10221,"LAS7: Error 102: Sample Queue Error","LAS7: Error 102: Sample Queue Error","COUNT",1
1002,524,5,"2","5/day - 2 consecutive days",10222,"LAS7: Error 103: Carrier Missing","LAS7: Error 103: Carrier Missing","CONSECUTIVE",2
1002,525,5,"2","5/day - 2 consecutive days",10223,"LAS7: Error 113","LAS7: Error 113","CONSECUTIVE",2
1002,526,1.5,"2","1.5% BCR Error/day - 2 consecutive days",10224,"LAS7: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""","LAS7: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""","CONSECUTIVE",2
1002,527,2,"2","2/day - 2 consecutive days",10225,"LAS7: Error 301","LAS7: Error 301","CONSECUTIVE",2
1002,528,2,"2","2/day - 2 consecutive days",10226,"LAS7: Error 302","LAS7: Error 302","CONSECUTIVE",2
1002,529,2,"2","2/day - 2 consecutive days",10227,"LAS7: Error 311","LAS7: Error 311","CONSECUTIVE",2
1002,530,2,"2","2/day - 2 consecutive days",10228,"LAS7: Error 312","LAS7: Error 312","CONSECUTIVE",2
1002,531,2,"2","2/day - 2 consecutive days",10229,"LAS7: Error 317","LAS7: Error 317","CONSECUTIVE",2
1002,532,2,"2","2/day - 2 consecutive days",10230,"LAS7: Error 318","LAS7: Error 318","CONSECUTIVE",2
1002,533,2,"2","2/day - 2 consecutive days",10231,"LAS7: Error 325","LAS7: Error 325","CONSECUTIVE",2
1002,534,2,"2","2/day - 2 consecutive days",10232,"LAS7: Error 326","LAS7: Error 326","CONSECUTIVE",2
1002,535,2,"2","2/day - 2 consecutive days",10233,"LAS7: Error 327","LAS7: Error 327","CONSECUTIVE",2
1002,536,1,"7","1/day, 3 days with errors in 1 week",10234,"LAS8: Error 101: Sample Presentation Error","LAS8: Error 101: Sample Presentation Error","DISCRETE",7
1002,537,1,"1","1/day",10235,"LAS8: Error 102: Sample Queue Error","LAS8: Error 102: Sample Queue Error","COUNT",1
1002,538,5,"2","5/day - 2 consecutive days",10236,"LAS8: Error 103: Carrier Missing","LAS8: Error 103: Carrier Missing","CONSECUTIVE",2
1002,539,5,"2","5/day - 2 consecutive days",10237,"LAS8: Error 113","LAS8: Error 113","CONSECUTIVE",2
1002,540,1.5,"2","1.5% BCR Error/day - 2 consecutive days",10238,"LAS8: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""","LAS8: Error 205: Unreadable Barcode and ""Interface Module Unreadable Barcode - ??????""","CONSECUTIVE",2
1002,541,2,"2","2/day - 2 consecutive days",10239,"LAS8: Error 301","LAS8: Error 301","CONSECUTIVE",2
1002,542,2,"2","2/day - 2 consecutive days",10240,"LAS8: Error 302","LAS8: Error 302","CONSECUTIVE",2
1002,543,2,"2","2/day - 2 consecutive days",10241,"LAS8: Error 311","LAS8: Error 311","CONSECUTIVE",2
1002,544,2,"2","2/day - 2 consecutive days",10242,"LAS8: Error 312","LAS8: Error 312","CONSECUTIVE",2
1002,545,2,"2","2/day - 2 consecutive days",10243,"LAS8: Error 317","LAS8: Error 317","CONSECUTIVE",2
1002,546,2,"2","2/day - 2 consecutive days",10244,"LAS8: Error 318","LAS8: Error 318","CONSECUTIVE",2
1002,547,2,"2","2/day - 2 consecutive days",10245,"LAS8: Error 325","LAS8: Error 325","CONSECUTIVE",2
1002,548,2,"2","2/day - 2 consecutive days",10246,"LAS8: Error 326","LAS8: Error 326","CONSECUTIVE",2
1002,549,2,"2","2/day - 2 consecutive days",10247,"LAS8: Error 327","LAS8: Error 327","CONSECUTIVE",2
1002,550,5,"2","5/day - 2 consecutive days",10248,"Overdue Carrier - Aliquoter Divert","Overdue Carrier - Aliquoter Divert","CONSECUTIVE",2
1002,551,5,"2","5/day - 2 consecutive days",10249,"Overdue Carrier - Centrifuge 2 Gate A","Overdue Carrier - Centrifuge 2 Gate A","CONSECUTIVE",2
1002,552,5,"2","5/day - 2 consecutive days",10250,"Overdue Carrier - Centrifuge 2 Gate B","Overdue Carrier - Centrifuge 2 Gate B","CONSECUTIVE",2
1002,553,5,"2","5/day - 2 consecutive days",10251,"Overdue Carrier - Centrifuge 2 Gate C","Overdue Carrier - Centrifuge 2 Gate C","CONSECUTIVE",2
1002,554,5,"2","5/day - 2 consecutive days",10252,"Overdue Carrier - Centrifuge Gate A","Overdue Carrier - Centrifuge Gate A","CONSECUTIVE",2
1002,555,5,"2","5/day - 2 consecutive days",10253,"Overdue Carrier - Centrifuge Gate B","Overdue Carrier - Centrifuge Gate B","CONSECUTIVE",2
1002,556,5,"2","5/day - 2 consecutive days",10254,"Overdue Carrier - Centrifuge Gate C","Overdue Carrier - Centrifuge Gate C","CONSECUTIVE",2
1002,557,5,"2","5/day - 2 consecutive days",10255,"Overdue Carrier - Decapper Divert Gate","Overdue Carrier - Decapper Divert Gate","CONSECUTIVE",2
1002,558,5,"2","5/day - 2 consecutive days",10256,"Overdue Carrier - Decapper Gate","Overdue Carrier - Decapper Gate","CONSECUTIVE",2
1002,559,5,"2","5/day - 2 consecutive days",10257,"Overdue Carrier - Desealer Divert","Overdue Carrier - Desealer Divert","CONSECUTIVE",2
1002,560,5,"2","5/day - 2 consecutive days",10258,"Overdue Carrier - Desealer Gate","Overdue Carrier - Desealer Gate","CONSECUTIVE",2
1002,561,5,"2","5/day - 2 consecutive days",10259,"Overdue Carrier - Instrument 1 Gate","Overdue Carrier - Instrument 1 Gate","CONSECUTIVE",2
1002,562,5,"2","5/day - 2 consecutive days",10260,"Overdue Carrier - Instrument 2 Gate","Overdue Carrier - Instrument 2 Gate","CONSECUTIVE",2
1002,563,5,"2","5/day - 2 consecutive days",10261,"Overdue Carrier - Instrument 3 Gate","Overdue Carrier - Instrument 3 Gate","CONSECUTIVE",2
1002,564,5,"2","5/day - 2 consecutive days",10262,"Overdue Carrier - Instrument 4 Gate","Overdue Carrier - Instrument 4 Gate","CONSECUTIVE",2
1002,565,5,"2","5/day - 2 consecutive days",10263,"Overdue Carrier - Instrument 5 Gate","Overdue Carrier - Instrument 5 Gate","CONSECUTIVE",2
1002,566,5,"2","5/day - 2 consecutive days",10264,"Overdue Carrier - Instrument 6 Gate","Overdue Carrier - Instrument 6 Gate","CONSECUTIVE",2
1002,567,5,"2","5/day - 2 consecutive days",10265,"Overdue Carrier - Instrument 7 Gate","Overdue Carrier - Instrument 7 Gate","CONSECUTIVE",2
1002,568,5,"2","5/day - 2 consecutive days",10266,"Overdue Carrier - Instrument 8 Gate","Overdue Carrier - Instrument 8 Gate","CONSECUTIVE",2
1002,569,5,"2","5/day - 2 consecutive days",10267,"Overdue Carrier - IOM Divert Gate","Overdue Carrier - IOM Divert Gate","CONSECUTIVE",2
1002,570,5,"2","5/day - 2 consecutive days",10268,"Overdue Carrier - IOM Gate A","Overdue Carrier - IOM Gate A","CONSECUTIVE",2
1002,571,5,"2","5/day - 2 consecutive days",10269,"Overdue Carrier - IOM Gate B","Overdue Carrier - IOM Gate B","CONSECUTIVE",2
1002,572,5,"2","5/day - 2 consecutive days",10270,"Overdue Carrier - IOM Gate C","Overdue Carrier - IOM Gate C","CONSECUTIVE",2
1002,573,5,"2","5/day - 2 consecutive days",10271,"Overdue Carrier - Resealer Divert Gate","Overdue Carrier - Resealer Divert Gate","CONSECUTIVE",2
1002,574,5,"2","5/day - 2 consecutive days",10272,"Overdue Carrier - Resealer Gate","Overdue Carrier - Resealer Gate","CONSECUTIVE",2
1002,575,5,"2","5/day - 2 consecutive days",10273,"Overdue Carrier - Return Gate 1","Overdue Carrier - Return Gate 1","CONSECUTIVE",2
1002,576,5,"2","5/day - 2 consecutive days",10274,"Overdue Carrier - Return Gate 2","Overdue Carrier - Return Gate 2","CONSECUTIVE",2
1002,577,5,"2","5/day - 2 consecutive days",10275,"Overdue Carrier - Return Gate 3","Overdue Carrier - Return Gate 3","CONSECUTIVE",2
1002,578,5,"2","5/day - 2 consecutive days",10276,"Overdue Carrier - Return Gate 4","Overdue Carrier - Return Gate 4","CONSECUTIVE",2
1002,579,5,"2","5/day - 2 consecutive days",10277,"Overdue Carrier - Return Gate 5","Overdue Carrier - Return Gate 5","CONSECUTIVE",2
1002,580,5,"2","5/day - 2 consecutive days",10278,"Overdue Carrier - Return Gate 6","Overdue Carrier - Return Gate 6","CONSECUTIVE",2
1002,581,5,"2","5/day - 2 consecutive days",10279,"Overdue Carrier - Return Gate 7","Overdue Carrier - Return Gate 7","CONSECUTIVE",2
1002,582,5,"2","5/day - 2 consecutive days",10280,"Overdue Carrier - Return Gate 8","Overdue Carrier - Return Gate 8","CONSECUTIVE",2
1002,583,5,"2","5/day - 2 consecutive days",10281,"Overdue Carrier - RIM Divert","Overdue Carrier - RIM Divert","CONSECUTIVE",2
1002,584,5,"2","5/day - 2 consecutive days",10282,"Overdue Carrier - Sampling Gate 1","Overdue Carrier - Sampling Gate 1","CONSECUTIVE",2
1002,585,5,"2","5/day - 2 consecutive days",10283,"Overdue Carrier - Sampling Gate 2","Overdue Carrier - Sampling Gate 2","CONSECUTIVE",2
1002,586,5,"2","5/day - 2 consecutive days",10284,"Overdue Carrier - Sampling Gate 3","Overdue Carrier - Sampling Gate 3","CONSECUTIVE",2
1002,587,5,"2","5/day - 2 consecutive days",10285,"Overdue Carrier - Sampling Gate 4","Overdue Carrier - Sampling Gate 4","CONSECUTIVE",2
1002,588,5,"2","5/day - 2 consecutive days",10286,"Overdue Carrier - Sampling Gate 5","Overdue Carrier - Sampling Gate 5","CONSECUTIVE",2
1002,589,5,"2","5/day - 2 consecutive days",10287,"Overdue Carrier - Sampling Gate 6","Overdue Carrier - Sampling Gate 6","CONSECUTIVE",2
1002,590,5,"2","5/day - 2 consecutive days",10288,"Overdue Carrier - Sampling Gate 7","Overdue Carrier - Sampling Gate 7","CONSECUTIVE",2
1002,591,5,"2","5/day - 2 consecutive days",10289,"Overdue Carrier - Sampling Gate 8","Overdue Carrier - Sampling Gate 8","CONSECUTIVE",2
1002,592,5,"2","5/day - 2 consecutive days",10290,"Overdue Carrier - Storage Gate A","Overdue Carrier - Storage Gate A","CONSECUTIVE",2
1002,593,5,"2","5/day - 2 consecutive days",10291,"Overdue Carrier - Storage Gate B","Overdue Carrier - Storage Gate B","CONSECUTIVE",2
1002,594,5,"2","5/day - 2 consecutive days",10292,"Overdue Carrier - Storage Gate C","Overdue Carrier - Storage Gate C","CONSECUTIVE",2
1002,595,5,"2","5/day - 2 consecutive days",10293,"Overdue Carrier - Storage Gate D","Overdue Carrier - Storage Gate D","CONSECUTIVE",2
1002,596,4,"2","4/day - 2 consecutive days",10294,"Resealer - Temperature Out of Range","Resealer - Temperature Out of Range","CONSECUTIVE",2
1002,597,2,"2","2/day - 2 consecutive days",10295,"Resealer: Error 18: Heater error","Resealer: Error 18: Heater error","CONSECUTIVE",2
1002,598,1,"2","1/day - 2 consecutive days",10296,"Resealer: Error 21: Arm up failure","Resealer: Error 21: Arm up failure","CONSECUTIVE",2
1002,599,1,"2","1/day - 2 consecutive days",10297,"Resealer: Error 22: Arm down failure","Resealer: Error 22: Arm down failure","CONSECUTIVE",2
1002,600,2,"2","2/day - 2 consecutive days",10298,"Resealer: Error 39: Analog signal error","Resealer: Error 39: Analog signal error","CONSECUTIVE",2
1002,601,1,"7","1/day, 3 days with errors in 1 week",10299,"Sample Presentation Error - Instrument 1","Sample Presentation Error - Instrument 1","DISCRETE",7
1002,602,1,"7","1/day, 3 days with errors in 1 week",10300,"Sample Presentation Error - Instrument 2","Sample Presentation Error - Instrument 2","DISCRETE",7
1002,603,1,"7","1/day, 3 days with errors in 1 week",10301,"Sample Presentation Error - Instrument 3","Sample Presentation Error - Instrument 3","DISCRETE",7
1002,604,1,"7","1/day, 3 days with errors in 1 week",10302,"Sample Presentation Error - Instrument 4","Sample Presentation Error - Instrument 4","DISCRETE",7
1002,605,1,"7","1/day, 3 days with errors in 1 week",10303,"Sample Presentation Error - Instrument 5","Sample Presentation Error - Instrument 5","DISCRETE",7
1002,606,1,"7","1/day, 3 days with errors in 1 week",10304,"Sample Presentation Error - Instrument 6","Sample Presentation Error - Instrument 6","DISCRETE",7
1002,607,1,"7","1/day, 3 days with errors in 1 week",10305,"Sample Presentation Error - Instrument 7","Sample Presentation Error - Instrument 7","DISCRETE",7
1002,608,1,"7","1/day, 3 days with errors in 1 week",10306,"Sample Presentation Error - Instrument 8","Sample Presentation Error - Instrument 8","DISCRETE",7
1002,609,1,"1","1/day",10307,"Sample Queue Error - Instrument 1","Sample Queue Error - Instrument 1","COUNT",1
1002,610,1,"1","1/day",10308,"Sample Queue Error - Instrument 2","Sample Queue Error - Instrument 2","COUNT",1
1002,611,1,"1","1/day",10309,"Sample Queue Error - Instrument 3","Sample Queue Error - Instrument 3","COUNT",1
1002,612,1,"1","1/day",10310,"Sample Queue Error - Instrument 4","Sample Queue Error - Instrument 4","COUNT",1
1002,613,1,"1","1/day",10311,"Sample Queue Error - Instrument 5","Sample Queue Error - Instrument 5","COUNT",1
1002,614,1,"1","1/day",10312,"Sample Queue Error - Instrument 6","Sample Queue Error - Instrument 6","COUNT",1
1002,615,1,"1","1/day",10313,"Sample Queue Error - Instrument 7","Sample Queue Error - Instrument 7","COUNT",1
1002,616,1,"1","1/day",10314,"Sample Queue Error - Instrument 8","Sample Queue Error - Instrument 8","COUNT",1
1002,617,3,"2","3/day for 2 consecutive days",10315,"Storage - Temperature Out of Range","Storage - Temperature Out of Range","CONSECUTIVE",2
1002,618,4,"2","4/day - 2 consecutive days",10316,"Storage Sample Robot: Error 21: Moving Fault - Axis 1","Storage Sample Robot: Error 21: Moving Fault - Axis 1","CONSECUTIVE",2
1002,619,4,"2","4/day - 2 consecutive days",10317,"Storage Sample Robot: Error 22: Moving Fault - Axis 2","Storage Sample Robot: Error 22: Moving Fault - Axis 2","CONSECUTIVE",2
1002,620,4,"2","4/day - 2 consecutive days",10318,"Storage Sample Robot: Error 23: Moving Fault - Axis 3","Storage Sample Robot: Error 23: Moving Fault - Axis 3","CONSECUTIVE",2
1002,621,4,"2","4/day - 2 consecutive days",10319,"Storage Sample Robot: Error 34: Axis 1 Homing Fault","Storage Sample Robot: Error 34: Axis 1 Homing Fault","CONSECUTIVE",2
1002,622,4,"2","4/day - 2 consecutive days",10320,"Storage Sample Robot: Error 35: Axis 2 Homing Fault","Storage Sample Robot: Error 35: Axis 2 Homing Fault","CONSECUTIVE",2
1002,623,4,"2","4/day - 2 consecutive days",10321,"Storage Sample Robot: Error 36: Axis 3 Homing Fault","Storage Sample Robot: Error 36: Axis 3 Homing Fault","CONSECUTIVE",2
1002,624,3,"2","3/day - 2 consecutive days",10322,"Storage Sample Robot: Error 41: Gripper Open Fault","Storage Sample Robot: Error 41: Gripper Open Fault","CONSECUTIVE",2
1002,625,3,"2","3/day - 2 consecutive days",10323,"Storage Sample Robot: Error 42: Gripper Close Fault","Storage Sample Robot: Error 42: Gripper Close Fault","CONSECUTIVE",2
1002,626,3,"2","3/day - 2 consecutive days",10324,"Storage Sample Robot: Error 48: Arm Limp","Storage Sample Robot: Error 48: Arm Limp","CONSECUTIVE",2
1002,627,3,"2","3/day - 2 consecutive days",10325,"Storage Sample Robot: Error 50: Tube Lost","Storage Sample Robot: Error 50: Tube Lost","CONSECUTIVE",2
1002,628,3,"2","3/day - 2 consecutive days",10326,"Storage Sample Robot: Error 51: Object found in Gripper","Storage Sample Robot: Error 51: Object found in Gripper","CONSECUTIVE",2
1002,629,2,"2","2/day - 2 consecutive days",10327,"Storage: Error 61: Waste Chute Obstructed","Storage: Error 61: Waste Chute Obstructed","CONSECUTIVE",2
1002,630,2,"2","2/day - 2 consecutive days",10328,"Storage: Error 62: Tube Drop Failure","Storage: Error 62: Tube Drop Failure","CONSECUTIVE",2
1002,631,1.5,"2","% Error greater than 1.5 SD for 2 consecutive high volume days",10329,"Unreadable Sample ID (BCR 1)","Unreadable Sample ID (BCR 1)","CONSECUTIVE",2
1002,632,1.5,"2","1.5%/day for 2 consecutive days",10330,"Unreadable Sample ID (BCR 2)","Unreadable Sample ID (BCR 2)","CONSECUTIVE",2
1002,633,1.5,"2","1.5%/day for 2 consecutive days",10331,"Unreadable Sample ID (BCR 3)","Unreadable Sample ID (BCR 3)","CONSECUTIVE",2
1003,9,27000,"5","R1 PIPETTER  MEAN PRESSURE MORE THAN 27000 FOR 5 DAYS",12,"R1","FE Pressure R1 Pipettor","MEAN",5
1003,10,27000,"5","R2 PIPETTER  MEAN PRESSURE MORE THAN 27000 FOR 5 DAYS",13,"R2","FE Pressure R2 Pipettor","MEAN",5
1003,11,27000,"5","STATSAMP PIPETTER  MEAN PRESSURE MORE THAN 27000 FOR 5 DAYS",10,"STATSAMP","FE Pressure STATSAMP Pipettor","MEAN",5
1003,12,27000,"5","SAMPLE PIPETTER  MEAN PRESSURE MORE THAN 27000 FOR 5 DAYS",11,"SAMP","FE Pressure Sample","MEAN",5
1003,13,27000,"5","I1 PIPETTER  MEAN PRESSURE MORE THAN 27000 FOR 5 DAYS",9,"I1","i1SR FE Pressure Pipettor","MEAN",5
