PHM_ALGORITHM_DEFINITIONS_SK,PHM_ALGORITHM_CATEGORIES_SK,ALGORITHM_NUMBER,ALGORITHM_NAME,ALGORITHM_COMMAND,ALGORITHM_DESCRIPTION,ALGORITHM_OWNER,SQL_CODE_COMMAND,SQL_DESCRIPTION,PROACTIVE_YN,REMAINING_USEFUL_LIFE_INT,REMAINING_USEFUL_LIFE_UNIT,KEEP_RESULTS_NUM_DAYS,ENABLED_YN,AREA_OF_TRACK,APP_AUDITS_CREATE_USER,APP_AUDITS_MODIFY_USER,PHM_PROD_FAMILY_SK,ALGORITHM_TYPE,ALGORITHM_MODE,NEW_REC,DELETE_FLAG,APP_AUDITS_CREATE_DATE,APP_AUDITS_MODIFY_DATE
20325,242,195,"Alinity CC Cuvette Integrity Segment 14",,"To detect broken or cracked cuvettes.","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5021,,,"Y","N","11/13/2018 1:16:44.000000 PM","11/13/2018 1:17:01.000000 PM"
20326,242,196,"Alinity CC Cuvette Integrity Segment 15",,"To detect broken or cracked cuvettes.","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5021,,,"Y","N","11/13/2018 1:18:31.000000 PM","11/13/2018 1:18:46.000000 PM"
20327,242,197,"Alinity CC Cuvette Integrity Segment 16",,"To detect broken or cracked cuvettes.","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5021,,,"Y","N","11/13/2018 1:20:19.000000 PM","11/13/2018 1:20:35.000000 PM"
20328,242,198,"Alinity CC Cuvette Integrity Segment 17",,"To detect broken or cracked cuvettes.","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5021,,,"Y","N","11/13/2018 1:22:08.000000 PM","11/13/2018 1:22:29.000000 PM"
20329,242,199,"Alinity CC Cuvette Wash",,"To detect cuvette wash problems.","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5021,,,"Y","N","11/13/2018 1:39:06.000000 PM","11/13/2018 1:40:23.000000 PM"
20000,181,38,"APA_3000_Inner Reagent",,"APA_3000_Inner Reagent","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 1:59:31.000000 PM","7/23/2019 6:19:28.000000 PM"
20002,181,40,"APA_3000_Middle Reagent",,"APA_3000_Middle Reagent","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 1:59:37.000000 PM","7/23/2019 6:34:43.000000 PM"
20003,181,41,"APA_3000_Outer Reagent",,"APA_3000_Outer Reagent","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 1:59:39.000000 PM","7/23/2019 6:35:29.000000 PM"
20012,181,50,"APA_3050_RV Carousel_Sample Pipettor at RV24",,"APA_3050_RV Carousel_Sample Pipettor at RV24","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",5001,,,"Y","N","3/29/2018 1:59:54.000000 PM","3/29/2018 1:59:54.000000 PM"
20013,181,51,"APA_3050_RV Carousel_RV1",,"APA_3050_RV Carousel_RV1","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 1:59:56.000000 PM","2/25/2019 6:26:07.000000 PM"
20021,181,59,"APA_3100_RV24",,"APA_3100_RV24","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:00:13.000000 PM","7/23/2019 6:45:48.000000 PM"
20023,181,61,"APA_3350_Sample Pipettor at RV24",,"APA_3350_Sample Pipettor at RV24","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:00:17.000000 PM","2/25/2019 8:45:16.000000 PM"
20031,181,69,"APA_3350_R1 Pipettor at Reagent Carousel",,"APA_3350_R1 Pipettor at Reagent Carousel","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",5001,,,"Y","N","3/29/2018 2:00:31.000000 PM","3/29/2018 2:00:31.000000 PM"
20033,181,71,"APA_3350_R2 Pipettor at Reagent Carousel",,"APA_3350_R2 Pipettor at Reagent Carousel","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",5001,,,"Y","N","3/29/2018 2:00:35.000000 PM","3/29/2018 2:00:35.000000 PM"
20041,181,79,"APA_3700_Wash Zone aspiration error for probe 3",,"APA_3700_Wash Zone aspiration error for probe 3","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:00:53.000000 PM","7/24/2019 5:38:37.000000 PM"
20042,181,80,"APA_4000_Middle Ring",,"APA_4000_Middle Ring","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","CHANDSN",5001,,,"Y","N","3/29/2018 2:00:55.000000 PM","5/1/2018 11:51:27.000000 AM"
20043,181,81,"APA_5101_STAT Vortexer",,"APA_5101_STAT Vortexer","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:00:59.000000 PM","2/25/2019 9:05:47.000000 PM"
20044,181,82,"APA_5101_Vortexer 1",,"APA_5101_Vortexer 1","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",5001,,,"Y","N","3/29/2018 2:01:02.000000 PM","3/29/2018 2:01:02.000000 PM"
20045,181,83,"APA_5101_Vortexer 2",,"APA_5101_Vortexer 2","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",5001,,,"Y","N","3/29/2018 2:01:05.000000 PM","3/29/2018 2:01:05.000000 PM"
20048,181,86,"APA_5104_Vortexer 3",,"APA_5104_Vortexer 3","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:01:15.000000 PM","2/25/2019 9:12:49.000000 PM"
20052,181,90,"APA_5105_Vortexer 1",,"APA_5105_Vortexer 1","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",5001,,,"Y","N","3/29/2018 2:01:26.000000 PM","3/29/2018 2:01:26.000000 PM"
20053,181,91,"APA_5105_Vortexer 2",,"APA_5105_Vortexer 2","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",5001,,,"Y","N","3/29/2018 2:01:28.000000 PM","3/29/2018 2:01:28.000000 PM"
20055,181,93,"APA_5200_RV Transport Sensor board",,"APA_5200_RV Transport Sensor board","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",5001,,,"Y","N","3/29/2018 2:01:32.000000 PM","3/29/2018 2:01:32.000000 PM"
20056,181,94,"APA_5202_RV Transport Sensor board",,"APA_5202_RV Transport Sensor board","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",5001,,,"Y","N","3/29/2018 2:01:34.000000 PM","3/29/2018 2:01:34.000000 PM"
20057,181,95,"APA_5204_RV Transport Sensor board",,"APA_5204_RV Transport Sensor board","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",5001,,,"Y","N","3/29/2018 2:01:36.000000 PM","3/29/2018 2:01:36.000000 PM"
20058,181,96,"APA_5205_RV Transport Sensor board",,"APA_5205_RV Transport Sensor board","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",5001,,,"Y","N","3/29/2018 2:01:38.000000 PM","3/29/2018 2:01:38.000000 PM"
20059,181,97,"APA_5207_RV Transport Sensor board",,"APA_5207_RV Transport Sensor board","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",5001,,,"Y","N","3/29/2018 2:01:41.000000 PM","3/29/2018 2:01:41.000000 PM"
20061,181,99,"APA_5209_RV Transport Sensor board",,"APA_5209_RV Transport Sensor board","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",5001,,,"Y","N","3/29/2018 2:01:45.000000 PM","3/29/2018 2:01:45.000000 PM"
20062,181,100,"APA_5302_Vacuum",,"APA_5302_Vacuum","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",5001,,,"Y","N","3/29/2018 2:01:46.000000 PM","3/29/2018 2:01:46.000000 PM"
20063,181,101,"APA_5304_Vacuum",,"APA_5304_Vacuum","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:01:48.000000 PM","7/24/2019 5:43:39.000000 PM"
20066,181,104,"APA_5404_Solenoid_32",,"APA_5404_Solenoid_32","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","CHANDSN",5001,,,"Y","N","3/29/2018 2:01:52.000000 PM","4/30/2018 4:33:25.000000 PM"
20067,181,105,"APA_5404_Solenoid_34",,"APA_5404_Solenoid_34","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","CHANDSN",5001,,,"Y","N","3/29/2018 2:01:55.000000 PM","4/30/2018 4:34:19.000000 PM"
20068,181,106,"APA_5404_Solenoid_36",,"APA_5404_Solenoid_36","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","CHANDSN",5001,,,"Y","N","3/29/2018 2:01:57.000000 PM","4/30/2018 4:35:50.000000 PM"
20069,181,107,"APA_5404_Solenoid_42",,"APA_5404_Solenoid_42","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","CHANDSN",5001,,,"Y","N","3/29/2018 2:01:59.000000 PM","4/30/2018 4:30:55.000000 PM"
20070,181,108,"APA_5404_Load 1 Gate",,"APA_5404_Load 1 Gate","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",5001,,,"Y","N","3/29/2018 2:02:00.000000 PM","3/29/2018 2:02:00.000000 PM"
20071,181,109,"APA_5404_Load Transfer Arm",,"APA_5404_Load Transfer Arm","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",5001,,,"Y","N","3/29/2018 2:02:01.000000 PM","3/29/2018 2:02:01.000000 PM"
20073,181,111,"APA_5404_Shutter",,"APA_5404_Shutter","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",5001,,,"Y","N","3/29/2018 2:02:04.000000 PM","3/29/2018 2:02:04.000000 PM"
20074,181,112,"APA_5404_Unload Diverter",,"APA_5404_Unload Diverter","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:02:05.000000 PM","2/28/2019 8:16:24.000000 PM"
20076,181,114,"APA_5404_Unload Transfer gate",,"APA_5404_Unload Transfer gate","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",5001,,,"Y","N","3/29/2018 2:02:09.000000 PM","3/29/2018 2:02:09.000000 PM"
20079,181,117,"APA_5408_Transport",,"APA_5408_Transport","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",5001,,,"Y","N","3/29/2018 2:02:13.000000 PM","3/29/2018 2:02:13.000000 PM"
20084,181,122,"APA_5503_STAT Pipettor Buffer Pump",,"APA_5503_STAT Pipettor Buffer Pump","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:02:22.000000 PM","7/24/2019 6:20:15.000000 PM"
20088,181,126,"APA_5900_Process Path Carousel Motor",,"APA_5900_Process Path Carousel Motor","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",5001,,,"Y","N","3/29/2018 2:02:28.000000 PM","3/29/2018 2:02:28.000000 PM"
20092,181,130,"APA_5900_RV Loader Wheel",,"APA_5900_RV Loader Wheel","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:02:34.000000 PM","7/24/2019 6:55:49.000000 PM"
20095,181,133,"APA_5900_STAT Pipettor Z",,"APA_5900_STAT Pipettor Z","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",5001,,,"Y","N","3/29/2018 2:02:39.000000 PM","3/29/2018 2:02:39.000000 PM"
20096,181,134,"APA_5900_STAT Pipettor Syringe Motor",,"APA_5900_STAT Pipettor Syringe Motor","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:02:40.000000 PM","2/25/2019 9:46:09.000000 PM"
20097,181,135,"APA_5900_STAT Pipettor Z Motor",,"APA_5900_STAT Pipettor Z Motor","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:02:42.000000 PM","2/25/2019 9:47:05.000000 PM"
20098,181,136,"APA_5905_RV Loader Wheel",,"APA_5905_RV Loader Wheel","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:02:43.000000 PM","9/12/2019 7:53:32.000000 AM"
20099,181,137,"APA_7000_17 [Reagent Cover Heater]",,"APA_7000_17 [Reagent Cover Heater]","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",5001,,,"Y","N","3/29/2018 2:02:45.000000 PM","3/29/2018 2:02:45.000000 PM"
20100,181,138,"APA_7001_17 [Reagent Cover Heater]",,"APA_7001_17 [Reagent Cover Heater]","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",5001,,,"Y","N","3/29/2018 2:02:46.000000 PM","3/29/2018 2:02:46.000000 PM"
20101,181,139,"APA_7001_7 [Reagent Cooler monitoring]",,"APA_7001_7 [Reagent Cooler monitoring]","CHANDSN",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",5001,,,"Y","N","3/29/2018 2:02:48.000000 PM","3/29/2018 2:02:48.000000 PM"
20102,181,140,"APA_9077_37",,"APA_9077_37","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:02:50.000000 PM","7/30/2019 5:00:09.000000 PM"
20103,181,141,"APA_9077_50",,"APA_9077_50","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:02:51.000000 PM","7/24/2019 7:00:40.000000 PM"
20104,181,142,"APA_9077_82",,"APA_9077_82","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:02:53.000000 PM","7/24/2019 7:04:50.000000 PM"
20007,181,45,"APA_3000_R1 Pipettor at RV2",,"APA_3000_R1 Pipettor at RV2","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 1:59:46.000000 PM","2/25/2019 5:59:48.000000 PM"
20004,181,42,"APA_3000_RV Carousel_RV1",,"APA_3000_RV Carousel_RV1","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 1:59:42.000000 PM","2/25/2019 6:03:50.000000 PM"
20005,181,43,"APA_3000_RV Carousel_RV2",,"APA_3000_RV Carousel_RV2","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 1:59:43.000000 PM","2/25/2019 6:10:55.000000 PM"
20001,181,39,"APA_3000_RV Carousel_RV24",,"APA_3000_RV Carousel_RV24","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 1:59:33.000000 PM","2/25/2019 6:13:22.000000 PM"
20009,181,47,"APA_3000_RV Carousel_RV48",,"APA_3000_RV Carousel_RV48","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 1:59:50.000000 PM","2/25/2019 6:15:51.000000 PM"
20011,181,49,"APA_3050_RV Carousel_R1 Pipettor",,"APA_3050_RV Carousel_RV2","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 1:59:53.000000 PM","7/23/2019 6:38:33.000000 PM"
20010,181,48,"APA_3050_RV Carousel_RV2",,"APA_3050_RV Carousel_RV2","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 1:59:51.000000 PM","2/25/2019 6:28:22.000000 PM"
20390,181,213,"APA_5503_R1 Wash Station Buffer Pump",,"APA_5503_R1 Wash Station Buffer Pump","LIJX8",,,,3,"3 days",14,"N",,"LIJX8","LIJX8",5001,,,"Y","N","4/1/2019 11:52:59.000000 AM","7/24/2019 6:25:49.000000 PM"
20049,181,87,"APA_5104_Vortexer 1",,"APA_5104_Vortexer 1","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:01:19.000000 PM","3/18/2019 5:58:50.000000 PM"
20050,181,88,"APA_5104_Vortexer 2",,"APA_5104_Vortexer 2","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:01:22.000000 PM","3/19/2019 1:30:19.000000 PM"
20060,181,98,"APA_5208_RV Transport Sensor board",,"APA_5208_RV Transport Sensor board","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:01:43.000000 PM","7/24/2019 5:40:22.000000 PM"
20064,181,102,"APA_5305_Vacuum",,"APA_5305_Vacuum","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:01:49.000000 PM","7/24/2019 5:45:41.000000 PM"
20065,181,103,"APA_5306_Vacuum",,"APA_5306_Vacuum","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:01:51.000000 PM","7/24/2019 5:46:48.000000 PM"
20590,181,227,"APA_5404_RV Hopper Door",,"APA_5404_RV Hopper Door","LIJX8",,,,3,"3 days",14,"N",,"LIJX8","LIJX8",5001,,,"Y","N","7/24/2019 5:55:38.000000 PM","8/23/2019 3:17:11.000000 PM"
20075,181,113,"APA_5404_Unload Transfer Arm",,"APA_5404_Unload Transfer Arm","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:02:07.000000 PM","7/24/2019 6:14:35.000000 PM"
20080,181,118,"APA_5503_Pipettor Buffer Pump",,"APA_5503_Pipettor Buffer Pump","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:02:15.000000 PM","7/24/2019 6:18:04.000000 PM"
20081,181,119,"APA_5503_R1 Pipettor Buffer Pump",,"APA_5503_R1 Pipettor Buffer Pump","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:02:17.000000 PM","7/24/2019 6:17:25.000000 PM"
20082,181,120,"APA_5503_R2 Pipettor Buffer Pump",,"APA_5503_R2 Pipettor Buffer Pump","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:02:19.000000 PM","7/24/2019 6:18:41.000000 PM"
20083,181,121,"APA_5503_Sample Pipettor Buffer Pump",,"APA_5503_Sample Pipettor Buffer Pump","LIJX8",,,,3,"3 days",14,"N",,"SVC_PHM_CONNECT","LIJX8",5001,,,"Y","N","3/29/2018 2:02:20.000000 PM","7/24/2019 6:19:34.000000 PM"
20140,201,142,"Alinity IA Optics Dark Count",,"To detect degrading Background Read performance before the customer begins experiencing an increase in Error: 1401 Unable to process test, background read failure.","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5020,,,"Y","N","6/27/2018 12:37:51.000000 PM","6/27/2018 5:07:33.000000 PM"
20141,204,143,"Alinity ci SCM AbbottLink Disconnect",,"To detect AbbottLink connectivity loss of greater than or equal to 3 days.","CHANDSN",,,,3,"3 days",14,"N",,"TRAUTMJ","SVC_PHM_CONNECT",5061,,,"Y","N","6/27/2018 1:48:19.000000 PM","7/1/2018 8:12:48.000000 PM"
1180,122,30,"DM Fail CC",,"Daily Maintenance Fail for CC Platform","CHANDSN",,,,3,"3 days",14,"N",,"HEITZRP","CHANDSN",5000,,,"Y","N","5/5/2017 2:13:37.000000 PM","1/14/2018 12:33:16.000000 PM"
1104,81,18,"APA IA 5301",,"5301 Vacuum system failure","CHANDSN",,,,3,"3 days",14,"N",,"JOYSX1","CHANDSN",5001,,,"Y","N","10/10/2016 1:52:02.000000 AM","2/11/2018 11:24:58.000000 PM"
1105,82,19,"APA CC 3579",,"3579 Internal Low Concentration Waste Tank Is Full.","CHANDSN",,,,3,"3 days",14,"N",,"JOYSX1","CHANDSN",5000,,,"Y","N","10/10/2016 2:00:18.000000 AM","2/11/2018 11:49:35.000000 PM"
1106,82,20,"APA CC 6506",,"6506 Cuvette Integrity Check Failed On Cuvette (X).","CHANDSN",,,,3,"3 days",14,"N",,"JOYSX1","CHANDSN",5000,,,"Y","N","10/10/2016 2:04:35.000000 AM","2/11/2018 11:56:08.000000 PM"
1107,82,21,"APA CC 6512",,"6512 Optics system warning, fluctuation detected, bichromatic check.","CHANDSN",,,,3,"3 days",14,"N",,"JOYSX1","CHANDSN",5000,,,"Y","N","10/10/2016 2:33:41.000000 AM","2/11/2018 11:58:30.000000 PM"
20230,203,166,"Alinity IA Vacuum Leak",,"To detect leaks in the vacuum assembly.","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5020,,,"Y","N","7/24/2018 12:07:45.000000 PM","7/24/2018 12:16:11.000000 PM"
20231,203,167,"Alinity IA Vacuum Pump",,"To detect reduced vacuum pump performance caused by vacuum pump valve issues.","CHANDSN",,,,7,"7 days",14,"N",,"CHANDSN","CHANDSN",5020,,,"Y","N","7/24/2018 12:37:11.000000 PM","7/24/2018 12:40:14.000000 PM"
1040,61,5,"A3600 ALGORITHM","-","-","JOYSX1","PHM_A3600_1","PLSQL for A3600 Algorithms","Y",5,"5 days",14,"Y",,"JOYSX1","SYS",5003,"ALG Oracle Procedure","Batch",,"N","10/8/2016 1:50:00.000000 PM","12/3/2016 12:53:04.000000 AM"
1000,1,1,"WAM ALGORITHM","WAM ALGM1 Command","WAM ALGORITHM","SVCSME","EXECUTE WAM_ALGM_PROCEDURE(SQL_CODE)","SQL DESC","Y",5,"5 Day",14,"Y",,"SVCSME","SVC_PHM_CONNECT",5001,,,,"N","10/28/2015 8:41:00.000000 PM","10/10/2016 3:25:36.000000 AM"
1001,21,2,"DARK COUNT ALGORITHM","-","-","SVCSME","PHM_DARK_COUNT","DC SQL desc","Y",5,"0 day",14,"Y",,"SVCSME","SYS",5001,"ALG Oracle Procedure","Batch",,"N","10/28/2015 8:52:00.000000 PM","12/3/2016 12:53:04.000000 AM"
1002,22,3,"APS Algorithm","-","-","SVCSME","PHM_APS","PLSQL for APS Algorithms","Y",5,"5 days",14,"Y",,"SVCSME","SYS",5002,"ALG Oracle Procedure","Batch",,"N","10/28/2015 8:57:00.000000 PM","12/3/2016 12:53:04.000000 AM"
1003,23,4,"FE PRESSURES ALGORITHM","-","-","SVCSME","PHM_FE_PRESSURE","PLSQL procedure for FE pressure algorithm","Y",5,"5 Day",14,"Y",,"SVCSME","SYS",5001,"ALG Oracle Procedure","Batch",,"N","10/28/2015 9:01:00.000000 PM","12/3/2016 12:53:04.000000 AM"
20350,262,201,"Ruby APA Group Algorithm",,"CELL-DYN Ruby APA Group Algorithm","CHANDSN",,,,3,"3 days",14,"N",,"CHANDSN","CHANDSN",5080,,,"Y","N","2/13/2019 11:38:07.000000 AM","2/13/2019 12:11:33.000000 PM"
20351,262,202,"Ruby APA Generic algorithm",,"Ruby APA Generic algorithm","CHANDSN",,,,3,"3 days",14,"N",,"CHANDSN","CHANDSN",5080,,,"Y","N","2/13/2019 11:54:44.000000 AM","2/13/2019 11:54:44.000000 AM"
20352,263,203,"Sapphire APA Group Algorithm",,"CELL-DYN Ruby Sapphire Group Algorithm","CHANDSN",,,,3,"3 days",14,"N",,"CHANDSN","CHANDSN",5081,,,"Y","N","2/13/2019 11:57:06.000000 AM","2/13/2019 11:59:57.000000 AM"
20353,263,204,"Sapphire APA Generic algorithm",,"Sapphire APA Generic algorithm","CHANDSN",,,,3,"3 days",14,"N",,"CHANDSN","CHANDSN",5081,,,"Y","N","2/13/2019 12:01:39.000000 PM","2/13/2019 12:01:39.000000 PM"
20354,262,205,"APA_0840 Vacuum Accumulator #1 Wet",,"APA_0840 Vacuum Accumulator #1 Wet","CHANDSN",,,,3,"3 days",14,"N",,"LIJX8","CHANDSN",5080,,,"Y","N","2/13/2019 1:17:35.000000 PM","2/25/2019 10:52:06.000000 AM"
20355,262,206,"APA_0841 Vacuum Accumulator #2 Wet",,"APA_0841 Vacuum Accumulator #2 Wet","CHANDSN",,,,3,"3 days",14,"N",,"LIJX8","CHANDSN",5080,,,"Y","N","2/13/2019 1:29:26.000000 PM","2/25/2019 10:52:30.000000 AM"
20356,262,207,"APA_0843 Rbc Diluent Syringe Overpressure",,"APA_0843 Rbc Diluent Syringe Overpressure","LIJX8",,,,3,"3 days",14,"N",,"LIJX8","LIJX8",5080,,,"Y","N","2/13/2019 1:33:10.000000 PM","3/5/2019 8:09:15.000000 PM"
20357,262,208,"APA_1100 Tube Dropped During Mixing",,"APA_1100 Tube Dropped During Mixing","LIJX8",,,,3,"3 days",14,"N",,"LIJX8","LIJX8",5080,,,"Y","N","2/13/2019 1:38:46.000000 PM","3/5/2019 8:12:05.000000 PM"
20358,263,209,"APA_0635 Diluent/Sheath Reagent Reservoir #1 Failed to Fill",,"APA_0635 Diluent/Sheath Reagent Reservoir #1 Failed to Fill","CHANDSN",,,,3,"3 days",14,"N",,"LIJX8","CHANDSN",5081,,,"Y","N","2/13/2019 1:45:21.000000 PM","2/25/2019 10:54:29.000000 AM"
20359,263,210,"APA_0636 Diluent/Sheath Reagent Reservoir #2 Failed to Fill",,"APA_0636 Diluent/Sheath Reagent Reservoir #2 Failed to Fill","CHANDSN",,,,3,"3 days",14,"N",,"LIJX8","CHANDSN",5081,,,"Y","N","2/13/2019 1:48:55.000000 PM","2/25/2019 10:54:44.000000 AM"
1120,101,26,"HC Waste Algorithm",,"HC Waste Algorithm for CC Instruments","CHANDSN",,,,3,"3 days",14,"N",,"HEITZRP","CHANDSN",5000,,,"Y","N","4/4/2017 1:39:23.000000 PM","1/14/2018 12:35:11.000000 PM"
